sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
INT20,4,hest_var50,all,log1p_raw,4860,50,0.30247671830758605,0.3084907578037798,0.30113634933493794,0.3072701232230736
INT1,4,hest_var50,all,cp10k_panel,1084,50,0.23389832371233604,0.2525518478200114,0.22642260621078653,0.2438706093794985
INT22,4,hest_var50,all,cp10k_panel,3829,50,0.24333257359250404,0.2381225597174583,0.2411365193101866,0.23532533191163957
INT21,4,hest_var50,all,cp10k_panel,4975,50,0.31272553326492525,0.3395643186101709,0.31085589708037487,0.3380575450054321
INT20,4,hest_var50,all,cp10k_panel,4860,50,0.2510037238817362,0.2593066371685612,0.24963070558520611,0.25777703898625676
INT1,4,hest_var50,all,cp10k_full,1084,50,0.1390870133199193,0.14826553018106078,0.12225329788717562,0.13475517344733245
INT22,4,hest_var50,all,cp10k_full,3829,50,0.10175854987107416,0.10436238903561533,0.09483395013027184,0.10238162826135422
INT21,4,hest_var50,all,cp10k_full,4975,50,0.15467310865724954,0.17476393970310153,0.1511987237911508,0.17605181425018987
INT20,4,hest_var50,all,cp10k_full,4860,50,0.1672616453944498,0.16017041876482416,0.16496598846949861,0.16299099501373462
INT1,4,trainHVG50,all,log1p_raw,1084,50,0.2698851743936542,0.2975079212658252,0.2595949247497551,0.2901152627363555
INT22,4,trainHVG50,all,log1p_raw,3829,50,0.349904295248871,0.3862946993878977,0.3483424655389258,0.38482065798167925
INT21,4,trainHVG50,all,log1p_raw,4975,50,0.3871107536262949,0.41824112125874796,0.3859150402844908,0.4173975686922576
INT20,4,trainHVG50,all,log1p_raw,4860,50,0.2945517374538863,0.3059887679928902,0.2930189399078732,0.304643346635584
INT1,4,trainHVG50,all,cp10k_panel,1084,50,0.22684849651145617,0.2311035408331467,0.21959668669202922,0.22176193204316647
INT22,4,trainHVG50,all,cp10k_panel,3829,50,0.24069314013170973,0.23577633691147112,0.23897366314473206,0.23166520530145732
INT21,4,trainHVG50,all,cp10k_panel,4975,50,0.3123702016350532,0.3347698138122741,0.3117887253841213,0.33324581163474604
INT20,4,trainHVG50,all,cp10k_panel,4860,50,0.24771933030066837,0.25393616510368716,0.24580950494781081,0.25251113454047386
INT1,4,trainHVG50,all,cp10k_full,1084,50,0.12656508100826286,0.12932048292408818,0.11337038495784456,0.1141298417312019
INT22,4,trainHVG50,all,cp10k_full,3829,50,0.09880094784409624,0.10650257381299426,0.09205729306674028,0.10419347682201473
INT21,4,trainHVG50,all,cp10k_full,4975,50,0.15185959690834777,0.1756239693044738,0.1462652003360509,0.1780163482421663
INT20,4,trainHVG50,all,cp10k_full,4860,50,0.15529307492766087,0.1563544356497775,0.1533006948256841,0.1586257015662013
INT1,4,trainHVG737,all,log1p_raw,1084,737,0.3237278658538641,0.3533836704993558,0.3168043145138331,0.34756967988426213
INT22,4,trainHVG737,all,log1p_raw,3829,737,0.4249232843874728,0.440602736113035,0.4236630825594207,0.4394569019527226
INT21,4,trainHVG737,all,log1p_raw,4975,737,0.47492601995094313,0.4854742646426389,0.47425300181453267,0.48480872308476813
INT20,4,trainHVG737,all,log1p_raw,4860,737,0.351957742158607,0.36771074691730915,0.351303867443455,0.3666211413561434
INT1,4,trainHVG737,all,cp10k_panel,1084,737,0.21399523412709628,0.21710271332839814,0.2069298432454364,0.20671393003412317
INT22,4,trainHVG737,all,cp10k_panel,3829,737,0.18917169257069838,0.18522919671723329,0.1855537348742241,0.1853669496694665
INT21,4,trainHVG737,all,cp10k_panel,4975,737,0.28692901868903664,0.2946178720266715,0.2848555702858849,0.2926122408564191
INT20,4,trainHVG737,all,cp10k_panel,4860,737,0.2483628476626371,0.24908038694652776,0.246146829039764,0.24738341484405535
INT1,4,trainHVG737,all,cp10k_full,1084,737,0.15190288227875454,0.1529052643596179,0.13813106408660344,0.1388633475635625
INT22,4,trainHVG737,all,cp10k_full,3829,737,0.11211159340105799,0.11585439336225425,0.10761536221543153,0.1137165000310022
INT21,4,trainHVG737,all,cp10k_full,4975,737,0.1948712437818544,0.19992428296140802,0.19214600895394043,0.197686440532479
INT20,4,trainHVG737,all,cp10k_full,4860,737,0.18346222669498502,0.18432383977395025,0.18278152124529176,0.18659431581147257
INT19,5,hest_var50,all,log1p_raw,4948,50,0.3362164135254895,0.3476616668408489,0.3358764897867394,0.34663452744493667
INT18,5,hest_var50,all,log1p_raw,4915,50,0.4621765253657746,0.5007021265960107,0.4613237293938912,0.49991639034139884
INT17,5,hest_var50,all,log1p_raw,3585,50,0.27869113879988705,0.2995134478874081,0.2767772969425779,0.297810156363135
