sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
MEND153,1,trainHVG737,all,cp10k_panel,1820,737,0.32973639800067583,0.3432124122933332,0.32698423040543934,0.3406210452476843
MEND152,1,trainHVG737,all,cp10k_panel,3082,737,0.251727883896326,0.26025734352845853,0.2497390932219969,0.2594762905136358
MEND151,1,trainHVG737,all,cp10k_panel,2600,737,0.246523938558685,0.2410134861543545,0.2454306851400841,0.25064082692128214
MEND150,1,trainHVG737,all,cp10k_panel,1751,737,0.2797885958519274,0.25714220027177775,0.2804465974215256,0.27564339804747146
MEND149,1,trainHVG737,all,cp10k_panel,1851,737,0.22600297259606852,0.23383997542444032,0.22087752121621154,0.22761872856795584
MEND148,1,trainHVG737,all,cp10k_panel,1633,737,0.2224485022283118,0.2414349605687479,0.21778354689678125,0.23656552159592503
MEND147,1,trainHVG737,all,cp10k_panel,2335,737,0.2790804708628948,0.2864074790981124,0.2756665699770028,0.2830360953384252
MEND146,1,trainHVG737,all,cp10k_panel,1964,737,0.23733947822126145,0.25945068195333537,0.23337634699166468,0.25574238638866065
MEND145,1,trainHVG737,all,cp10k_panel,1418,737,0.3533597855601369,0.35604293533120496,0.3507623956434843,0.3574481830641808
MEND144,1,trainHVG737,all,cp10k_panel,4074,737,0.19201114995320415,0.21111354093173976,0.18930306537499791,0.2085768505957799
MEND143,1,trainHVG737,all,cp10k_panel,3816,737,0.16442313172963688,0.1659426211270599,0.16177146577878423,0.1645994846627361
MEND142,1,trainHVG737,all,cp10k_panel,2997,737,0.2109320219678322,0.2091687194028258,0.20897618688400393,0.21015523925147903
MEND141,1,trainHVG737,all,cp10k_panel,1794,737,0.2902193436412484,0.2951304650764547,0.28711682754105383,0.2963070515377674
MEND140,1,trainHVG737,all,cp10k_panel,1935,737,0.25868982766984994,0.24915856129499198,0.25854328527220144,0.26106189721066225
MEND139,1,trainHVG737,all,cp10k_panel,3749,737,0.18370336896443337,0.18103248738005515,0.17952680882323405,0.18094112198264412
MEND153,1,trainHVG737,all,cp10k_full,1820,737,0.290578677517328,0.30712632559857467,0.2889917807771468,0.30384290378611445
MEND152,1,trainHVG737,all,cp10k_full,3082,737,0.21486804934934595,0.2323702401826752,0.2109417240535801,0.23154999773376514
MEND151,1,trainHVG737,all,cp10k_full,2600,737,0.21938142241615113,0.22205036353948077,0.2169292096557684,0.23352576466471006
MEND150,1,trainHVG737,all,cp10k_full,1751,737,0.24378433636161298,0.22879062705573572,0.2440445284650556,0.2486349889952405
MEND149,1,trainHVG737,all,cp10k_full,1851,737,0.19096761172993015,0.20223708975974594,0.1842909728586366,0.19517347248225936
MEND148,1,trainHVG737,all,cp10k_full,1633,737,0.18687565023457886,0.21042838089915106,0.1816706926707836,0.20458968133580505
MEND147,1,trainHVG737,all,cp10k_full,2335,737,0.23616567573343406,0.246632779322326,0.23226584692384541,0.24157845863045424
MEND146,1,trainHVG737,all,cp10k_full,1964,737,0.2122240817767824,0.23678754341000313,0.20893550216928766,0.23217193870381334
MEND145,1,trainHVG737,all,cp10k_full,1418,737,0.2961686083152468,0.3041721919341413,0.292327789249387,0.3047079672279718
MEND144,1,trainHVG737,all,cp10k_full,4074,737,0.1602803191377593,0.18062013957285622,0.15762054976401355,0.17739311058753057
MEND143,1,trainHVG737,all,cp10k_full,3816,737,0.13560124267746831,0.13968141953695104,0.13187847372883135,0.13681805429501473
MEND142,1,trainHVG737,all,cp10k_full,2997,737,0.18555496434050803,0.18735232948894487,0.1822211972517707,0.18744105868103797
MEND141,1,trainHVG737,all,cp10k_full,1794,737,0.2545116071751002,0.26353508860163355,0.24993595013481415,0.2627484759915102
MEND140,1,trainHVG737,all,cp10k_full,1935,737,0.22021061208882195,0.22302133252900214,0.21985434771489806,0.2331009607203119
MEND139,1,trainHVG737,all,cp10k_full,3749,737,0.1549314583664547,0.15860250230658182,0.14982848355999473,0.1597627172755423
