section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
B4,B,hvg737_train,scprep,raw,737,0.13849805352641248,0.14114670317648684,0.11354598295030359,0.41800691339246965,0.3722302465180347
B5,B,hvg737_train,scprep,raw,737,0.09758723974296622,0.11912425559564511,0.08553456120331847,0.4141109954434231,0.3573781749667056
B6,B,hvg737_train,scprep,raw,737,0.1344265012934764,0.13683099597353346,0.12972172826336695,0.43390276584800114,0.3783146939486594
B1,B,hvg737_train,scprep,smooth,737,0.16726169018468964,0.17115363745910894,0.10559630171579938,0.5423449099994572,0.4911123003285753
B2,B,hvg737_train,scprep,smooth,737,0.23528833461918586,0.2160583621413392,0.11726677307958162,0.5399318967079649,0.5060539271460889
B3,B,hvg737_train,scprep,smooth,737,0.20617063355859155,0.21352077115464477,0.12658122388007773,0.5838160860376251,0.5374504600304933
B4,B,hvg737_train,scprep,smooth,737,0.27540943715911936,0.23804014612007826,0.16008344922199327,0.6032953754237704,0.567350718845088
B5,B,hvg737_train,scprep,smooth,737,0.20622087247624377,0.2167401356553723,0.11278371710438258,0.6125715514424922,0.5600913415293924
B6,B,hvg737_train,scprep,smooth,737,0.2359619182896174,0.231935296332835,0.19914381325070646,0.6176248415618533,0.5691948988486811
B1,B,htg785_fixed,cp10k,raw,785,0.1970271011094534,0.1993203764477254,0.1528371680955103,0.41537246252947824,0.38408092127910703
B2,B,htg785_fixed,cp10k,raw,785,0.2204027590912943,0.2175939507794887,0.16773855346107555,0.4350052033779942,0.40337626245711106
B3,B,htg785_fixed,cp10k,raw,785,0.19644906574687362,0.19985928664083422,0.1707445997726207,0.4242205911480122,0.3861645785591014
B4,B,htg785_fixed,cp10k,raw,785,0.2137240668365933,0.21454247888201797,0.21351426426774714,0.4485001622843546,0.4118106959753785
B5,B,htg785_fixed,cp10k,raw,785,0.19525161048415207,0.19492883537231265,0.1555392229123076,0.422580270739385,0.38756280421920364
B6,B,htg785_fixed,cp10k,raw,785,0.2140518867039876,0.21539677172732125,0.21021833822888727,0.4565660408385075,0.41234476432024975
B1,B,htg785_fixed,cp10k,smooth,785,0.36607919096282937,0.34125565076965286,0.20001646516553032,0.5983521484617724,0.5742326713438138
B2,B,htg785_fixed,cp10k,smooth,785,0.3894368614700471,0.35546209603687656,0.24313610838979752,0.5970540112423793,0.5693203982523396
B3,B,htg785_fixed,cp10k,smooth,785,0.37831498852324075,0.3564634600538727,0.2707548510616225,0.6177164918028033,0.5849490472604382
B4,B,htg785_fixed,cp10k,smooth,785,0.40328618257147825,0.3748502157820391,0.3157328538146882,0.6534131223243298,0.6161441778807376
B5,B,htg785_fixed,cp10k,smooth,785,0.38200220598444784,0.3555561925048255,0.27154229325838414,0.6309338252167003,0.5971081422782578
