section,gene,r_tech,r_nbr
A1,PGAP3,0.7942484252481754,0.15862477685144347
A1,S100A4,0.7825495055642715,0.00579572139325547
A1,TMBIM6,0.8039732375160323,0.1177545636776328
A1,PRELID1,0.7786808517943856,0.10957707851483779
A1,MRPL41,0.774957694929318,0.2519403221738333
A1,FAM20C,0.7798323127504032,0.16836368363102855
A1,CCL19,0.7687837136751021,0.25707563869061645
A1,CRABP2,0.8344989676904073,0.16080265725710813
A1,CCT3,0.786996128752926,0.09631070331298469
A1,PPIB,0.795832419980618,0.01618548444017218
A1,LTBP3,0.7927966098924104,0.09191202130814362
A1,HLA-F,0.7744391007746549,-0.010150959226749393
A1,VCP,0.7352029673501241,-0.061146609281803384
A1,GADD45GIP1,0.7609782585329612,-0.051971656171658075
A1,CFL1,0.7314976134123308,0.11581271574953778
A1,PDIA4,0.7625512665348226,0.050349169986070676
A1,MARK2,0.7535268367768446,0.07665855296962125
A1,CHMP1A,0.7607642757464341,-0.012549017973538922
A1,PSMD2,0.7766232954630083,0.1388538060230348
A1,PRDX5,0.7929687283101303,0.00814660159064409
A1,INF2,0.7475718896688529,0.09460108329668585
A1,NACA,0.791108735881898,0.17133044561287453
A1,EIF3K,0.7697259888782303,-0.01489576147434191
A1,SNX17,0.7735561131104428,0.081863311830444
A1,CSDE1,0.7922302214783266,0.11089857697857682
A1,LAMTOR4,0.7777166269267526,0.08262065302744609
A1,RNPEPL1,0.7678807619374779,0.10156477806433171
A1,NDUFA4,0.7850293010608127,0.201763232043982
A1,HLA-DMA,0.7994291460573898,0.19196414830385786
A1,CYC1,0.7743169440512735,0.15481293211769442
A1,ELOVL1,0.7848688104129906,0.25808074939025044
A1,APOD,0.8078309645880454,0.3024103195048475
A1,SERPING1,0.7789136259145739,-0.08006440815297591
A1,MMP2,0.8166268404602071,-0.09490118173707973
A1,BLVRB,0.7617272213991475,0.019054153090114264
A1,MAN1B1,0.7625620405294601,0.13937771321856704
A1,ATP5D,0.7798819210368844,0.011393089797752384
A1,ACADVL,0.7733193972718527,0.15092599541656704
A1,FTL,0.7957800509617486,0.2458946571300134
A1,CLTA,0.7604105330064462,0.04666414070925694
A1,PHPT1,0.7855773478828654,0.12294297764967438
A1,TMUB1,0.7159068485005012,0.21954863574439135
A1,RAB1B,0.7630446679319965,0.1345117711003842
A1,AUP1,0.7775929537394313,0.08129207815891966
A1,PDXK,0.7863405524973227,0.06006206545333261
A1,SSNA1,0.7716455496782938,0.08262163461462381
A1,MGAT1,0.7407687677103687,0.04370264918278674
A1,EMP3,0.7719764193328825,0.0010322280607192715
